Vehicle type,Vehicle speed,wind velocity,weather condition,status,,,,,,,,
sedan,120,13.5,snow,sideslip,,,,,,,,
sedan,20,15.6,ice,sideslip,,,,,,,,
sedan,30,14.5,ice,sideslip,,,,,,,,
sedan,40,13.7,ice,sideslip,,,,,,,,
sedan,50,12.2,ice,sideslip,,,,,,,,
sedan,60,10.8,ice,sideslip,,,,,,,,
sedan,70,9.2,ice,sideslip,,,,,,,,
sedan,80,8.1,ice,sideslip,,,,,,,,
sedan,90,7.3,ice,sideslip,,,,,,,,
sedan,100,6.5,ice,sideslip,,,,,,,,
sedan,110,5.7,ice,sideslip,,,,,,,,
sedan,120,5,ice,sideslip,,,,,,,,
minibus,20,28.2,sunny,rollover,,,,,,,,
minibus,30,27.8,sunny,rollover,,,,,,,,
minibus,40,27.6,sunny,rollover,,,,,,,,
minibus,50,26.8,sunny,rollover,,,,,,,,
minibus,60,26.3,sunny,rollover,,,,,,,,
minibus,70,25.5,sunny,rollover,,,,,,,,
minibus,80,24.7,sunny,rollover,,,,,,,,
minibus,90,23.8,sunny,rollover,,,,,,,,
minibus,100,22.6,sunny,rollover,,,,,,,,
minibus,110,22.1,sunny,rollover,,,,,,,,
minibus,120,21.2,sunny,rollover,,,,,,,,
minibus,20,26.8,sunny,ratating,,,,,,,,
minibus,30,26.2,sunny,ratating,,,,,,,,
minibus,40,25.3,sunny,ratating,,,,,,,,
minibus,50,24.1,sunny,ratating,,,,,,,,
minibus,60,23.7,sunny,ratating,,,,,,,,
minibus,70,22.5,sunny,ratating,,,,,,,,
minibus,80,21.8,sunny,ratating,,,,,,,,
minibus,90,20.3,sunny,ratating,,,,,,,,
minibus,100,19.5,sunny,ratating,,,,,,,,
minibus,110,17.4,sunny,ratating,,,,,,,,
minibus,120,16.6,sunny,ratating,,,,,,,,
minibus,20,27.1,sunny,sideslip,,,,,,,,
minibus,30,26.8,sunny,sideslip,,,,,,,,
minibus,40,26.1,sunny,sideslip,,,,,,,,
minibus,50,25.7,sunny,sideslip,,,,,,,,
minibus,60,25.2,sunny,sideslip,,,,,,,,
minibus,70,24.6,sunny,sideslip,,,,,,,,
minibus,80,23.5,sunny,sideslip,,,,,,,,
minibus,90,22.8,sunny,sideslip,,,,,,,,
minibus,100,21.7,sunny,sideslip,,,,,,,,
minibus,110,20.6,sunny,sideslip,,,,,,,,
minibus,120,19.5,sunny,sideslip,,,,,,,,
minibus,20,24.2,rainy,sideslip,,,,,,,,
minibus,30,23.8,rainy,sideslip,,,,,,,,
minibus,40,23.1,rainy,sideslip,,,,,,,,
minibus,50,22.7,rainy,sideslip,,,,,,,,
minibus,60,21.6,rainy,sideslip,,,,,,,,
minibus,70,20.9,rainy,sideslip,,,,,,,,
minibus,80,20.1,rainy,sideslip,,,,,,,,
minibus,90,19.3,rainy,sideslip,,,,,,,,
minibus,100,18,rainy,sideslip,,,,,,,,
minibus,110,17.1,rainy,sideslip,,,,,,,,
minibus,120,16.3,rainy,sideslip,,,,,,,,
minibus,20,13.9,snow,sideslip,,,,,,,,
minibus,30,13.1,snow,sideslip,,,,,,,,
minibus,40,12.2,snow,sideslip,,,,,,,,
minibus,50,11.3,snow,sideslip,,,,,,,,
minibus,60,10.5,snow,sideslip,,,,,,,,
minibus,70,9.7,snow,sideslip,,,,,,,,
minibus,80,8.2,snow,sideslip,,,,,,,,
minibus,90,7.4,snow,sideslip,,,,,,,,
minibus,100,6.5,snow,sideslip,,,,,,,,
minibus,110,6.1,snow,sideslip,,,,,,,,
minibus,120,5.7,snow,sideslip,,,,,,,,
minibus,20,8.2,ice,sideslip,,,,,,,,
minibus,30,7.1,ice,sideslip,,,,,,,,
minibus,40,6.3,ice,sideslip,,,,,,,,
minibus,50,5.4,ice,sideslip,,,,,,,,
minibus,60,4.6,ice,sideslip,,,,,,,,
minibus,70,3.9,ice,sideslip,,,,,,,,
minibus,80,3.5,ice,sideslip,,,,,,,,
minibus,90,3.1,ice,sideslip,,,,,,,,
minibus,100,2.8,ice,sideslip,,,,,,,,
minibus,110,2.6,ice,sideslip,,,,,,,,
minibus,120,2.1,ice,sideslip,,,,,,,,
motor bus,20,35.6,sunny,rollover,,,,,,,,
motor bus,30,35.1,sunny,rollover,,,,,,,,
motor bus,40,34.7,sunny,rollover,,,,,,,,
motor bus,50,34.2,sunny,rollover,,,,,,,,
motor bus,60,33.6,sunny,rollover,,,,,,,,
motor bus,70,32.8,sunny,rollover,,,,,,,,
motor bus,80,32.1,sunny,rollover,,,,,,,,
motor bus,90,31.3,sunny,rollover,,,,,,,,
motor bus,100,30.6,sunny,rollover,,,,,,,,
motor bus,110,29.2,sunny,rollover,,,,,,,,
motor bus,120,28.5,sunny,rollover,,,,,,,,
motor bus,20,31.2,sunny,ratating,,,,,,,,
motor bus,30,30.5,sunny,ratating,,,,,,,,
motor bus,40,29.4,sunny,ratating,,,,,,,,
motor bus,50,28.7,sunny,ratating,,,,,,,,
motor bus,60,28.1,sunny,ratating,,,,,,,,
motor bus,70,27.3,sunny,ratating,,,,,,,,
motor bus,80,26.5,sunny,ratating,,,,,,,,
motor bus,90,25.6,sunny,ratating,,,,,,,,
motor bus,100,24.7,sunny,ratating,,,,,,,,
motor bus,110,23.3,sunny,ratating,,,,,,,,
motor bus,120,22.4,sunny,ratating,,,,,,,,
motor bus,20,35.6,sunny,sideslip,,,,,,,,
motor bus,30,35.2,sunny,sideslip,,,,,,,,
motor bus,40,35.1,sunny,sideslip,,,,,,,,
motor bus,50,34.3,sunny,sideslip,,,,,,,,
motor bus,60,33.8,sunny,sideslip,,,,,,,,
motor bus,70,33.1,sunny,sideslip,,,,,,,,
motor bus,80,32.4,sunny,sideslip,,,,,,,,
motor bus,90,31.6,sunny,sideslip,,,,,,,,
motor bus,100,31.1,sunny,sideslip,,,,,,,,
motor bus,110,30.5,sunny,sideslip,,,,,,,,
motor bus,120,29.4,sunny,sideslip,,,,,,,,
motor bus,20,31,rainy,sideslip,,,,,,,,
motor bus,30,30.6,rainy,sideslip,,,,,,,,
motor bus,40,30.1,rainy,sideslip,,,,,,,,
motor bus,50,29.5,rainy,sideslip,,,,,,,,
motor bus,60,28.7,rainy,sideslip,,,,,,,,
motor bus,70,28.2,rainy,sideslip,,,,,,,,
motor bus,80,27.1,rainy,sideslip,,,,,,,,
motor bus,90,26.4,rainy,sideslip,,,,,,,,
motor bus,100,25.5,rainy,sideslip,,,,,,,,
motor bus,110,24.8,rainy,sideslip,,,,,,,,
motor bus,120,23.6,rainy,sideslip,,,,,,,,
motor bus,20,16.7,snow,sideslip,,,,,,,,
motor bus,30,16,snow,sideslip,,,,,,,,
motor bus,40,15.2,snow,sideslip,,,,,,,,
motor bus,50,14.3,snow,sideslip,,,,,,,,
motor bus,60,13.3,snow,sideslip,,,,,,,,
motor bus,70,12.8,snow,sideslip,,,,,,,,
