Vehicle type,Vehicle speed,wind velocity,weather condition,status,,,,,,,,
minibus,35,25.3,sunny,safty,,,,,,,,
minibus,45,24.1,sunny,safty,,,,,,,,
minibus,55,23.7,sunny,safty,,,,,,,,
minibus,65,22.5,sunny,safty,,,,,,,,
minibus,75,21.8,sunny,safty,,,,,,,,
minibus,85,20.3,sunny,safty,,,,,,,,
minibus,95,19.5,sunny,safty,,,,,,,,
minibus,105,17.4,sunny,safty,,,,,,,,
minibus,115,16.6,sunny,safty,,,,,,,,
minibus,15,27.1,sunny,safty,,,,,,,,
minibus,25,26.8,sunny,safty,,,,,,,,
minibus,35,26.1,sunny,safty,,,,,,,,
minibus,45,25.7,sunny,safty,,,,,,,,
minibus,55,25.2,sunny,safty,,,,,,,,
minibus,65,24.6,sunny,safty,,,,,,,,
minibus,75,23.5,sunny,safty,,,,,,,,
minibus,85,22.8,sunny,safty,,,,,,,,
minibus,95,21.7,sunny,safty,,,,,,,,
minibus,105,20.6,sunny,safty,,,,,,,,
minibus,115,19.5,sunny,safty,,,,,,,,
minibus,15,24.2,rainy,safty,,,,,,,,
minibus,25,23.8,rainy,safty,,,,,,,,
minibus,35,23.1,rainy,safty,,,,,,,,
minibus,45,22.7,rainy,safty,,,,,,,,
minibus,55,21.6,rainy,safty,,,,,,,,
minibus,65,20.9,rainy,safty,,,,,,,,
minibus,75,20.1,rainy,safty,,,,,,,,
minibus,85,19.3,rainy,safty,,,,,,,,
minibus,95,18,rainy,safty,,,,,,,,
minibus,105,17.1,rainy,safty,,,,,,,,
minibus,115,16.3,rainy,safty,,,,,,,,
minibus,15,13.9,snow,safty,,,,,,,,
minibus,25,13.1,snow,safty,,,,,,,,
minibus,35,12.2,snow,safty,,,,,,,,
minibus,45,11.3,snow,safty,,,,,,,,
minibus,55,10.5,snow,safty,,,,,,,,
minibus,65,9.7,snow,safty,,,,,,,,
minibus,75,8.2,snow,safty,,,,,,,,
minibus,85,7.4,snow,safty,,,,,,,,
minibus,95,6.5,snow,safty,,,,,,,,
minibus,105,6.1,snow,safty,,,,,,,,
minibus,115,5.7,snow,safty,,,,,,,,
minibus,15,8.2,ice,safty,,,,,,,,
minibus,25,7.1,ice,safty,,,,,,,,
minibus,35,6.3,ice,safty,,,,,,,,
minibus,45,5.4,ice,safty,,,,,,,,
minibus,55,4.6,ice,safty,,,,,,,,
minibus,65,3.9,ice,safty,,,,,,,,
minibus,75,3.5,ice,safty,,,,,,,,
minibus,85,3.1,ice,safty,,,,,,,,
minibus,95,2.8,ice,safty,,,,,,,,
minibus,105,2.6,ice,safty,,,,,,,,
minibus,115,2.1,ice,safty,,,,,,,,
motor bus,15,35.6,sunny,safty,,,,,,,,
motor bus,25,35.1,sunny,safty,,,,,,,,
motor bus,35,34.7,sunny,safty,,,,,,,,
motor bus,45,34.2,sunny,safty,,,,,,,,
motor bus,55,33.6,sunny,safty,,,,,,,,
motor bus,65,32.8,sunny,safty,,,,,,,,
motor bus,75,32.1,sunny,safty,,,,,,,,
motor bus,85,31.3,sunny,safty,,,,,,,,
motor bus,95,30.6,sunny,safty,,,,,,,,
motor bus,105,29.2,sunny,safty,,,,,,,,
motor bus,115,28.5,sunny,safty,,,,,,,,
motor bus,15,31.2,sunny,safty,,,,,,,,
motor bus,25,30.5,sunny,safty,,,,,,,,
motor bus,35,29.4,sunny,safty,,,,,,,,
motor bus,45,28.7,sunny,safty,,,,,,,,
motor bus,55,28.1,sunny,safty,,,,,,,,
motor bus,65,27.3,sunny,safty,,,,,,,,
motor bus,75,26.5,sunny,safty,,,,,,,,
motor bus,85,25.6,sunny,safty,,,,,,,,
motor bus,95,24.7,sunny,safty,,,,,,,,
motor bus,105,23.3,sunny,safty,,,,,,,,
motor bus,115,22.4,sunny,safty,,,,,,,,
motor bus,15,35.6,sunny,safty,,,,,,,,
motor bus,25,35.2,sunny,safty,,,,,,,,
motor bus,35,35.1,sunny,safty,,,,,,,,
motor bus,45,34.3,sunny,safty,,,,,,,,
motor bus,55,33.8,sunny,safty,,,,,,,,
motor bus,65,33.1,sunny,safty,,,,,,,,
motor bus,75,32.4,sunny,safty,,,,,,,,
motor bus,85,31.6,sunny,safty,,,,,,,,
motor bus,95,31.1,sunny,safty,,,,,,,,
motor bus,105,30.5,sunny,safty,,,,,,,,
motor bus,115,29.4,sunny,safty,,,,,,,,
motor bus,15,31,rainy,safty,,,,,,,,
motor bus,25,30.6,rainy,safty,,,,,,,,
motor bus,35,30.1,rainy,safty,,,,,,,,
motor bus,45,29.5,rainy,safty,,,,,,,,
motor bus,55,28.7,rainy,safty,,,,,,,,
motor bus,65,28.2,rainy,safty,,,,,,,,
motor bus,75,27.1,rainy,safty,,,,,,,,
motor bus,85,26.4,rainy,safty,,,,,,,,
motor bus,95,25.5,rainy,safty,,,,,,,,
motor bus,105,24.8,rainy,safty,,,,,,,,
motor bus,115,23.6,rainy,safty,,,,,,,,
motor bus,15,16.7,snow,safty,,,,,,,,
motor bus,25,16,snow,safty,,,,,,,,
motor bus,35,15.2,snow,safty,,,,,,,,
motor bus,45,14.3,snow,safty,,,,,,,,
motor bus,55,13.3,snow,safty,,,,,,,,
motor bus,65,12.8,snow,safty,,,,,,,,
motor bus,75,11.5,snow,safty,,,,,,,,
motor bus,85,10.8,snow,safty,,,,,,,,
motor bus,95,10.1,snow,safty,,,,,,,,
motor bus,105,9.7,snow,safty,,,,,,,,
motor bus,115,8.5,snow,safty,,,,,,,,
motor bus,15,10,ice,safty,,,,,,,,
motor bus,25,9.1,ice,safty,,,,,,,,
motor bus,35,8.1,ice,safty,,,,,,,,
motor bus,45,7.1,ice,safty,,,,,,,,
motor bus,55,6.6,ice,safty,,,,,,,,
motor bus,65,5.7,ice,safty,,,,,,,,
motor bus,75,5,ice,safty,,,,,,,,
motor bus,85,4.7,ice,safty,,,,,,,,
motor bus,95,4.3,ice,safty,,,,,,,,
motor bus,105,3.6,ice,safty,,,,,,,,
motor bus,115,3.2,ice,safty,,,,,,,,
van,15,27,sunny,safty,,,,,,,,
van,25,26.5,sunny,safty,,,,,,,,
van,35,26.2,sunny,safty,,,,,,,,
van,45,25.6,sunny,safty,,,,,,,,
van,55,24.8,sunny,safty,,,,,,,,
van,65,24.1,sunny,safty,,,,,,,,
van,75,23.2,sunny,safty,,,,,,,,
van,85,22.1,sunny,safty,,,,,,,,
van,95,21.4,sunny,safty,,,,,,,,
van,105,20.3,sunny,safty,,,,,,,,
van,115,19.5,sunny,safty,,,,,,,,
van,15,27.6,sunny,safty,,,,,,,,
van,25,26.7,sunny,safty,,,,,,,,
van,35,25.9,sunny,safty,,,,,,,,
van,45,24.7,sunny,safty,,,,,,,,
van,55,23.8,sunny,safty,,,,,,,,
van,65,22.6,sunny,safty,,,,,,,,
van,75,21.7,sunny,safty,,,,,,,,
van,85,20.3,sunny,safty,,,,,,,,
van,95,19.4,sunny,safty,,,,,,,,
van,105,18.3,sunny,safty,,,,,,,,
van,115,17.9,sunny,safty,,,,,,,,
van,15,27.7,sunny,safty,,,,,,,,
van,25,27.3,sunny,safty,,,,,,,,
van,35,27.1,sunny,safty,,,,,,,,
van,45,26.6,sunny,safty,,,,,,,,
van,55,25.7,sunny,safty,,,,,,,,
van,65,25.3,sunny,safty,,,,,,,,
van,75,24.1,sunny,safty,,,,,,,,
van,85,23.5,sunny,safty,,,,,,,,
van,95,22.7,sunny,safty,,,,,,,,
van,105,21.6,sunny,safty,,,,,,,,
van,115,20.1,sunny,safty,,,,,,,,
van,15,24.7,rainy,safty,,,,,,,,
van,25,24.4,rainy,safty,,,,,,,,
van,35,23.7,rainy,safty,,,,,,,,
van,45,23.1,rainy,safty,,,,,,,,
van,55,22.5,rainy,safty,,,,,,,,
van,65,21.5,rainy,safty,,,,,,,,
van,75,20.4,rainy,safty,,,,,,,,
van,85,19.4,rainy,safty,,,,,,,,
van,95,18.6,rainy,safty,,,,,,,,
van,105,17.3,rainy,safty,,,,,,,,
van,115,16.5,rainy,safty,,,,,,,,
van,15,14.3,snow,safty,,,,,,,,
van,25,13.2,snow,safty,,,,,,,,
van,35,12.5,snow,safty,,,,,,,,
van,45,11.2,snow,safty,,,,,,,,
van,55,10.2,snow,safty,,,,,,,,
van,65,9.4,snow,safty,,,,,,,,
van,75,8.1,snow,safty,,,,,,,,
van,85,7.5,snow,safty,,,,,,,,
van,95,7,snow,safty,,,,,,,,
van,105,6.2,snow,safty,,,,,,,,
van,115,5.7,snow,safty,,,,,,,,
van,15,8.3,ice,safty,,,,,,,,
van,25,7.8,ice,safty,,,,,,,,
van,35,6.4,ice,safty,,,,,,,,
van,45,5.3,ice,safty,,,,,,,,
van,55,4.7,ice,safty,,,,,,,,
van,65,4.1,ice,safty,,,,,,,,
van,75,3.6,ice,safty,,,,,,,,
van,85,3.2,ice,safty,,,,,,,,
van,95,2.7,ice,safty,,,,,,,,
van,105,2.4,ice,safty,,,,,,,,
van,115,2.1,ice,safty,,,,,,,,
container car,15,36,sunny,safty,,,,,,,,
container car,25,35.4,sunny,safty,,,,,,,,
container car,35,35,sunny,safty,,,,,,,,
container car,45,34.7,sunny,safty,,,,,,,,
container car,55,33.9,sunny,safty,,,,,,,,
container car,65,33.2,sunny,safty,,,,,,,,
container car,75,32.6,sunny,safty,,,,,,,,
container car,85,31.7,sunny,safty,,,,,,,,
container car,95,31.2,sunny,safty,,,,,,,,
container car,105,30.4,sunny,safty,,,,,,,,
container car,115,29.2,sunny,safty,,,,,,,,
container car,15,33.7,sunny,safty,,,,,,,,
container car,25,33.1,sunny,safty,,,,,,,,
container car,35,32.7,sunny,safty,,,,,,,,
container car,45,31.6,sunny,safty,,,,,,,,
container car,55,31.1,sunny,safty,,,,,,,,
container car,65,30.3,sunny,safty,,,,,,,,
container car,75,29.5,sunny,safty,,,,,,,,
container car,85,28.4,sunny,safty,,,,,,,,
container car,95,27.3,sunny,safty,,,,,,,,
container car,105,26.7,sunny,safty,,,,,,,,
container car,115,25.4,sunny,safty,,,,,,,,
container car,15,38.7,sunny,safty,,,,,,,,
container car,25,38.3,sunny,safty,,,,,,,,
container car,35,38,sunny,safty,,,,,,,,
container car,45,37.5,sunny,safty,,,,,,,,
container car,55,37.1,sunny,safty,,,,,,,,
container car,65,36.8,sunny,safty,,,,,,,,
container car,75,35.6,sunny,safty,,,,,,,,
container car,85,35,sunny,safty,,,,,,,,
container car,95,34.2,sunny,safty,,,,,,,,
container car,105,33.6,sunny,safty,,,,,,,,
container car,115,32.8,sunny,safty,,,,,,,,
container car,15,33.6,rainy,safty,,,,,,,,
container car,25,33.2,rainy,safty,,,,,,,,
container car,35,32.8,rainy,safty,,,,,,,,
container car,45,32.1,rainy,safty,,,,,,,,
container car,55,31.8,rainy,safty,,,,,,,,
container car,65,30.7,rainy,safty,,,,,,,,
container car,75,30.1,rainy,safty,,,,,,,,
container car,85,29.5,rainy,safty,,,,,,,,
container car,95,28.7,rainy,safty,,,,,,,,
container car,105,27.5,rainy,safty,,,,,,,,
container car,115,26.4,rainy,safty,,,,,,,,
container car,15,18.3,snow,safty,,,,,,,,
container car,25,17.6,snow,safty,,,,,,,,
container car,35,17.1,snow,safty,,,,,,,,
container car,45,16.5,snow,safty,,,,,,,,
container car,55,15.3,snow,safty,,,,,,,,
container car,65,14.2,snow,safty,,,,,,,,
container car,75,13.1,snow,safty,,,,,,,,
container car,85,12.6,snow,safty,,,,,,,,
container car,95,11.5,snow,safty,,,,,,,,
container car,105,10.7,snow,safty,,,,,,,,
container car,115,10.2,snow,safty,,,,,,,,
container car,15,11.2,ice,safty,,,,,,,,
container car,25,10.3,ice,safty,,,,,,,,
container car,35,9.4,ice,safty,,,,,,,,
container car,45,8.7,ice,safty,,,,,,,,
container car,55,7.6,ice,safty,,,,,,,,
container car,65,6.8,ice,safty,,,,,,,,
container car,75,6.1,ice,safty,,,,,,,,
container car,85,5.5,ice,safty,,,,,,,,
container car,95,4.7,ice,safty,,,,,,,,
container car,105,4.6,ice,safty,,,,,,,,
container car,115,4.3,ice,safty,,,,,,,,
